sentence1,sentence2,gold_label_log,gold_label_prag,spec_relation,item_type,trigger,lexemes,Reasoning_gold_label_Prag
These computers and dresses wouldn't both irritate Veronica.,These computers or dresses would irritate Veronica.,neutral,entailment,implicature_NtoP,target,connective,or - and,"If both the computers and dresses wouldn't irritate Veronica, then at least one of them must irritate her, supporting the claim that either the computers or the dresses would irritate her."
These computers or dresses would irritate Veronica.,These computers and dresses would irritate Veronica.,neutral,contradiction,negated implicature_P,target,connective,or - and,"Sentence 2 is a contradiction of Sentence 1 because the use of ""or"" in Sentence 1 implies that only one of the options (computers or dresses) would irritate Veronica, while ""and"" in Sentence 2 suggests that both would irritate her simultaneously, creating a logical inconsistency."
These computers and dresses would irritate Veronica.,These computers or dresses would irritate Veronica.,entailment,contradiction,reverse negated implicature_P,target,connective,or - and,"Sentence 2 introduces the possibility that only one of the items (either the computers or the dresses) could irritate Veronica, contradicting the assertion in Sentence 1 that both would irritate her."
These computers and dresses wouldn't both irritate Veronica.,Neither these computers nor dresses would irritate Veronica.,neutral,contradiction,negated implicature_N,target,connective,or - and,"Sentence 2 contradicts Sentence 1 because if neither the computers nor the dresses irritate Veronica, then it is impossible for both to not irritate her, which directly opposes the claim made in Sentence 1."
Neither these computers nor dresses would irritate Veronica.,These computers and dresses wouldn't both irritate Veronica.,entailment,contradiction,reverse negated implicature_N,target,connective,or - and,"Sentence 2 contradicts Sentence 1 because it implies that at least one of the items (computers or dresses) could irritate Veronica, while Sentence 1 asserts that neither would irritate her at all."
These computers and dresses would irritate Veronica.,Neither these computers nor dresses would irritate Veronica.,contradiction,contradiction,opposite,control,connective,or - and,"Sentence 2 directly contradicts Sentence 1 by asserting that neither the computers nor the dresses would irritate Veronica, which opposes the claim that at least one of them would cause irritation."
Neither these computers nor dresses would irritate Veronica.,These computers and dresses would irritate Veronica.,contradiction,contradiction,opposite,control,connective,or - and,"Sentence 2 directly contradicts Sentence 1 by asserting that both the computers and dresses would irritate Veronica, while Sentence 1 states that neither would cause her irritation."
These computers or dresses would irritate Veronica.,Neither these computers nor dresses would irritate Veronica.,contradiction,contradiction,negation,control,connective,or - and,"Sentence 2 directly contradicts Sentence 1 by asserting that neither of the items mentioned would irritate Veronica, while Sentence 1 claims that at least one of them would."
Neither these computers nor dresses would irritate Veronica.,These computers or dresses would irritate Veronica.,contradiction,contradiction,negation,control,connective,or - and,"Sentence 2 contradicts Sentence 1 because it asserts that at least one of the items (computers or dresses) would irritate Veronica, directly opposing the claim that neither would cause her irritation."
These computers and dresses would irritate Veronica.,These computers and dresses wouldn't both irritate Veronica.,contradiction,contradiction,negation,control,connective,or - and,"Sentence 2 contradicts Sentence 1 because it asserts that it is impossible for both the computers and dresses to irritate Veronica, while Sentence 1 claims that they would indeed irritate her."
These computers and dresses wouldn't both irritate Veronica.,These computers and dresses would irritate Veronica.,contradiction,contradiction,negation,control,connective,or - and,"Sentence 2 contradicts Sentence 1 because it asserts that both the computers and dresses would irritate Veronica, directly opposing the claim that they wouldn't both cause irritation."
Those children or adults pressure Randolf to leave Monet.,Those children and adults don't both pressure Randolf to leave Monet.,neutral,entailment,implicature_PtoN,target,connective,or - and,"The presence of ""or"" in sentence 1 implies that at least one group (children or adults) is pressuring Randolf, which supports the conclusion in sentence 2 that not both groups are pressuring him simultaneously."
Those children and adults don't both pressure Randolf to leave Monet.,Those children or adults pressure Randolf to leave Monet.,neutral,entailment,implicature_NtoP,target,connective,or - and,"If those children and adults do not both pressure Randolf to leave Monet, it implies that at least one group (either the children or the adults) is exerting pressure on him."
