sentence1,sentence2,gold_label_log,gold_label_prag,spec_relation,item_type,trigger,lexemes,Reasoning_gold_label_Prag
Christine is not brilliant.,Christine is smart.,neutral,entailment,implicature_NtoP,target,adjective,smart-brilliant,"The assertion that ""Christine is not brilliant"" implies a lack of exceptional intelligence, which contradicts the claim that ""Christine is smart,"" thus making sentence 2 an entailment of sentence 1."
Christine is smart.,Christine is brilliant.,neutral,contradiction,negated implicature_P,target,adjective,smart-brilliant,"Sentence 2 is not a contradiction of Sentence 1, as ""brilliant"" is often considered a stronger affirmation of intelligence than ""smart,"" indicating that both sentences can coexist without conflict."
Christine is brilliant.,Christine is smart.,entailment,contradiction,reverse negated implicature_P,target,adjective,smart-brilliant,"Sentence 2 is a contradiction of Sentence 1 because ""brilliant"" implies a higher level of intelligence than merely being ""smart,"" suggesting that if Christine is not considered brilliant, she cannot be smart."
Christine is not brilliant.,Christine is not smart.,neutral,contradiction,negated implicature_N,target,adjective,smart-brilliant,"Sentence 2 contradicts Sentence 1 because if Christine is not brilliant, it does not necessarily imply that she is also not smart, as brilliance and intelligence can be viewed as distinct qualities."
Christine is not smart.,Christine is not brilliant.,entailment,contradiction,reverse negated implicature_N,target,adjective,smart-brilliant,"Sentence 2 is a contradiction of Sentence 1 because if Christine is not smart, it implies a lack of intelligence, which inherently includes not being brilliant, making the two statements mutually exclusive in their implications about her cognitive abilities."
Christine is brilliant.,Christine is not smart.,contradiction,contradiction,opposite,control,adjective,smart-brilliant,"Sentence 2 contradicts Sentence 1 because being ""brilliant"" inherently implies a high level of intelligence, which directly opposes the claim that Christine is ""not smart."""
Christine is not smart.,Christine is brilliant.,contradiction,contradiction,opposite,control,adjective,smart-brilliant,"Sentence 2 contradicts Sentence 1 because ""brilliant"" implies a high level of intelligence, directly opposing the claim that Christine is ""not smart."""
Christine is smart.,Christine is not smart.,contradiction,contradiction,negation,control,adjective,smart-brilliant,"Sentence 2 directly negates the assertion made in Sentence 1 by stating the opposite of Christine's intelligence, thereby creating a contradiction."
Christine is not smart.,Christine is smart.,contradiction,contradiction,negation,control,adjective,smart-brilliant,"Sentence 2 directly asserts the opposite of what Sentence 1 claims, making it a clear contradiction."
Christine is brilliant.,Christine is not brilliant.,contradiction,contradiction,negation,control,adjective,smart-brilliant,"Sentence 2 directly negates the assertion made in Sentence 1, thereby contradicting the claim that Christine possesses brilliance."
Christine is not brilliant.,Christine is brilliant.,contradiction,contradiction,negation,control,adjective,smart-brilliant,"Sentence 2 directly asserts the opposite of Sentence 1 by claiming that Christine possesses brilliance, which contradicts the assertion that she does not."
