sentence1,sentence2,gold_label_log,gold_label_prag,spec_relation,item_type,trigger,lexemes,Reasoning_gold_label_Prag
The person did not sprint to those movie theaters.,The person ran to those movie theaters.,neutral,entailment,implicature_NtoP,target,verb,ran - sprinted,"Sentence 2 cannot be an entailment of Sentence 1 because if the person did not sprint, it implies they did not run quickly, contradicting the assertion in Sentence 2 that they ran."
The person ran to those movie theaters.,The person sprinted to those movie theaters.,neutral,contradiction,negated implicature_P,target,verb,ran - sprinted,"Sentence 2 is a contradiction of Sentence 1 because ""sprinted"" implies a faster, more intense action than simply ""ran,"" suggesting a different level of urgency or speed that cannot coexist with the more general action of running."
The person sprinted to those movie theaters.,The person ran to those movie theaters.,entailment,contradiction,reverse negated implicature_P,target,verb,ran - sprinted,"Sentence 2 contradicts Sentence 1 because ""sprinted"" implies a faster, more intense form of running, while ""ran"" suggests a less vigorous pace, indicating a difference in the nature of the action."
The person did not sprint to those movie theaters.,The person did not run to those movie theaters.,neutral,contradiction,negated implicature_N,target,verb,ran - sprinted,"Sentence 2 is a contradiction of Sentence 1 because ""sprint"" implies a faster, more intense form of running, so stating that the person did not run suggests they may have moved at a slower pace, which does not contradict the assertion of not sprinting."
The person did not run to those movie theaters.,The person did not sprint to those movie theaters.,entailment,contradiction,reverse negated implicature_N,target,verb,ran - sprinted,"Sentence 2 is a contradiction of Sentence 1 because ""sprint"" implies a faster form of running, suggesting that if the person did not sprint, they may have run, which contradicts the assertion that they did not run at all."
The person sprinted to those movie theaters.,The person did not run to those movie theaters.,contradiction,contradiction,opposite,control,verb,ran - sprinted,"Sentence 2 contradicts Sentence 1 because ""sprinted"" implies running, while ""did not run"" directly negates that action."
The person did not run to those movie theaters.,The person sprinted to those movie theaters.,contradiction,contradiction,opposite,control,verb,ran - sprinted,"Sentence 2 contradicts Sentence 1 because ""did not run"" implies a lack of movement towards the theaters, while ""sprinted"" indicates a rapid and intentional movement towards them."
The person ran to those movie theaters.,The person did not run to those movie theaters.,contradiction,contradiction,negation,control,verb,ran - sprinted,"Sentence 2 directly negates the action described in Sentence 1, asserting that the person did not perform the act of running to the movie theaters, which contradicts the claim made in Sentence 1."
The person did not run to those movie theaters.,The person ran to those movie theaters.,contradiction,contradiction,negation,control,verb,ran - sprinted,"Sentence 2 directly contradicts Sentence 1 by asserting that the person did run to the movie theaters, which is the opposite of the claim made in Sentence 1."
The person sprinted to those movie theaters.,The person did not sprint to those movie theaters.,contradiction,contradiction,negation,control,verb,ran - sprinted,"Sentence 2 directly negates the action described in Sentence 1, asserting that the person did not perform the sprinting action, which contradicts the claim that they did."
