sentence1,sentence2,gold_label_log,gold_label_prag,spec_relation,item_type,trigger,lexemes,Reasoning_gold_label_Prag
That teenager didn't need to yell.,That teenager could yell.,neutral,entailment,implicature_NtoP,target,modal,can - have to,"The fact that the teenager didn't need to yell implies that they had the ability to yell, making sentence 2 an entailment of sentence 1."
That teenager could yell.,That teenager needed to yell.,neutral,contradiction,negated implicature_P,target,modal,can - have to,"Sentence 2 contradicts Sentence 1 because needing to yell implies a lack of ability or choice, while being able to yell suggests the opposite."
That teenager needed to yell.,That teenager could yell.,entailment,contradiction,reverse negated implicature_P,target,modal,can - have to,Sentence 2 contradicts Sentence 1 because needing to yell implies a necessity or obligation that is not satisfied by merely having the ability to yell.
That teenager didn't need to yell.,That teenager couldn't yell.,neutral,contradiction,negated implicature_N,target,modal,can - have to,"Sentence 2 contradicts Sentence 1 because if the teenager ""couldn't yell,"" it implies a lack of ability, which negates the assertion that they ""didn't need to yell."""
That teenager couldn't yell.,That teenager didn't need to yell.,entailment,contradiction,reverse negated implicature_N,target,modal,can - have to,"Sentence 2 contradicts Sentence 1 because if the teenager couldn't yell, it implies an inability that precludes the need to yell, making the assertion of not needing to yell inconsistent with the inability expressed in Sentence 1."
That teenager needed to yell.,That teenager couldn't yell.,contradiction,contradiction,opposite,control,modal,can - have to,"Sentence 2 contradicts Sentence 1 because it asserts that the teenager was unable to yell, directly opposing the claim that the teenager needed to yell."
That teenager couldn't yell.,That teenager needed to yell.,contradiction,contradiction,opposite,control,modal,can - have to,"Sentence 2 contradicts Sentence 1 because if the teenager couldn't yell, it implies an inability to express the need to yell, making the assertion of needing to yell logically inconsistent."
That teenager could yell.,That teenager couldn't yell.,contradiction,contradiction,negation,control,modal,can - have to,"Sentence 2 directly negates the possibility expressed in Sentence 1, asserting that the teenager lacks the ability to yell, which contradicts the assertion of capability in Sentence 1."
That teenager couldn't yell.,That teenager could yell.,contradiction,contradiction,negation,control,modal,can - have to,"Sentence 2 directly contradicts Sentence 1 by asserting the teenager's ability to yell, which is the opposite of the claim that they could not."
That teenager needed to yell.,That teenager didn't need to yell.,contradiction,contradiction,negation,control,modal,can - have to,"Sentence 2 directly contradicts Sentence 1 by asserting the opposite of the teenager's necessity to yell, thereby negating the claim made in Sentence 1."
That teenager didn't need to yell.,That teenager needed to yell.,contradiction,contradiction,negation,control,modal,can - have to,"Sentence 2 directly contradicts Sentence 1 by asserting that the teenager required yelling, while Sentence 1 states that yelling was unnecessary."
Mary could run around cafes.,Mary didn't need to run around cafes.,neutral,entailment,implicature_PtoN,target,modal,can - have to,"The ability for Mary to run around cafes implies that she has the option to do so, which does not necessitate that she must or needs to run around them."
Mary didn't need to run around cafes.,Mary could run around cafes.,neutral,entailment,implicature_NtoP,target,modal,can - have to,"If Mary didn't need to run around cafes, it implies that she had the option to do so, thus supporting the idea that she could run around cafes."
Mary could run around cafes.,Mary needed to run around cafes.,neutral,contradiction,negated implicature_P,target,modal,can - have to,"Sentence 2 contradicts Sentence 1 because the use of ""needed"" implies a lack of choice or ability, whereas ""could"" suggests that Mary has the option or capability to run around cafes."
Mary needed to run around cafes.,Mary could run around cafes.,entailment,contradiction,reverse negated implicature_P,target,modal,can - have to,"Sentence 2 contradicts Sentence 1 because the necessity implied in Sentence 1 (""needed to"") indicates an obligation or requirement, while Sentence 2 (""could"") suggests mere possibility without obligation."
Mary didn't need to run around cafes.,Mary couldn't run around cafes.,neutral,contradiction,negated implicature_N,target,modal,can - have to,"Sentence 2 contradicts Sentence 1 because the inability to run around cafes implies a lack of choice or capacity, whereas Sentence 1 suggests that Mary had the option but simply chose not to."
Mary couldn't run around cafes.,Mary didn't need to run around cafes.,entailment,contradiction,reverse negated implicature_N,target,modal,can - have to,"Sentence 2 contradicts Sentence 1 because if Mary couldn't run around cafes, it implies an inability, whereas Sentence 2 suggests she had the option but chose not to, indicating a lack of necessity."
Mary needed to run around cafes.,Mary couldn't run around cafes.,contradiction,contradiction,opposite,control,modal,can - have to,"Sentence 2 contradicts Sentence 1 because if Mary needed to run around cafes, it implies she was capable of doing so, whereas stating she couldn't run around cafes directly negates that capability."
Mary couldn't run around cafes.,Mary needed to run around cafes.,contradiction,contradiction,opposite,control,modal,can - have to,"Sentence 2 contradicts Sentence 1 because if Mary couldn't run around cafes, it implies she was unable to do so, making it illogical for her to need to do it."
Mary couldn't run around cafes.,Mary needed to run around cafes.,contradiction,contradiction,opposite,control,modal,can - have to,"Sentence 2 contradicts Sentence 1 because if Mary couldn't run around cafes, it logically follows that she would not have a need to do so."
Mary could run around cafes.,Mary couldn't run around cafes.,contradiction,contradiction,negation,control,modal,can - have to,"Sentence 2 directly negates the possibility expressed in Sentence 1, asserting that Mary is unable to perform the action of running around cafes, which contradicts the assertion that she could."
Mary couldn't run around cafes.,Mary could run around cafes.,contradiction,contradiction,negation,control,modal,can - have to,Sentence 2 directly contradicts Sentence 1 by asserting the opposite ability regarding Mary's capacity to run around cafes.
Mary needed to run around cafes.,Mary didn't need to run around cafes.,contradiction,contradiction,negation,control,modal,can - have to,"Sentence 2 directly contradicts Sentence 1 by asserting that Mary had no need to run around cafes, which opposes the claim that she did need to do so."
Mary didn't need to run around cafes.,Mary needed to run around cafes.,contradiction,contradiction,negation,control,modal,can - have to,"Sentence 2 directly contradicts Sentence 1 by asserting that Mary had a need to run around cafes, which is the opposite of the claim that she did not need to do so."
Carl could observe Benjamin.,Carl didn't need to observe Benjamin.,neutral,entailment,implicature_PtoN,target,modal,can - have to,"The assertion in sentence2 that ""Carl didn't need to observe Benjamin"" implies a lack of necessity, which does not contradict the possibility presented in sentence1 that ""Carl could observe Benjamin,"" thus allowing for the interpretation that the ability to observe does not require the act itself."
Carl didn't need to observe Benjamin.,Carl could observe Benjamin.,neutral,entailment,implicature_NtoP,target,modal,can - have to,"The statement that ""Carl didn't need to observe Benjamin"" implies that observing Benjamin was an option available to Carl, thus supporting the conclusion that ""Carl could observe Benjamin."""
Carl could observe Benjamin.,Carl needed to observe Benjamin.,neutral,contradiction,negated implicature_P,target,modal,can - have to,"Sentence 2 contradicts Sentence 1 because needing to observe implies a lack of ability or opportunity, while observing indicates that Carl is already capable of doing so."
