sentence1,sentence2,gold_label_log,gold_label_prag,spec_relation,item_type,trigger,lexemes,Reasoning_gold_label_Prag
Ten senators might dislike Lori.,One hundred senators might dislike Lori.,neutral,contradiction,negated implicature_P,target,numeral_ten-one hundred,ten - one hundred,"Sentence 2 contradicts Sentence 1 because if ten senators might dislike Lori, it is not possible for one hundred senators to also be in that category without exceeding the initial claim."
One hundred senators might dislike Lori.,Ten senators might dislike Lori.,entailment,contradiction,reverse negated implicature_P,target,numeral_ten-one hundred,ten - one hundred,"Sentence 2 is a contradiction of Sentence 1 because if one hundred senators might dislike Lori, it is logically impossible for only ten senators to be the case simultaneously."
One hundred senators might dislike Lori.,Ten senators won't dislike Lori.,contradiction,contradiction,opposite,control,numeral_ten-one hundred,ten - one hundred,"Sentence 2 contradicts Sentence 1 because if one hundred senators might dislike Lori, it is impossible for ten senators to definitively not dislike her."
Ten senators won't dislike Lori.,One hundred senators might dislike Lori.,contradiction,contradiction,opposite,control,numeral_ten-one hundred,ten - one hundred,"Sentence 2 contradicts Sentence 1 because if ten senators do not dislike Lori, it is impossible for one hundred senators to potentially dislike her, as that would imply a greater number of senators disapproving of her than those who do not."
Ten senators might dislike Lori.,Ten senators won't dislike Lori.,contradiction,contradiction,negation,control,numeral_ten-one hundred,ten - one hundred,"Sentence 2 directly contradicts Sentence 1 by asserting that the same ten senators will not have the potential to dislike Lori, which opposes the possibility expressed in Sentence 1."
Ten senators won't dislike Lori.,Ten senators might dislike Lori.,contradiction,contradiction,negation,control,numeral_ten-one hundred,ten - one hundred,"Sentence 2 contradicts Sentence 1 because if ten senators won't dislike Lori, it logically follows that they cannot possibly dislike her, making the possibility presented in Sentence 2 inconsistent with the assertion in Sentence 1."
One hundred senators might dislike Lori.,One hundred senators won't dislike Lori.,contradiction,contradiction,negation,control,numeral_ten-one hundred,ten - one hundred,Sentence 2 directly contradicts Sentence 1 by asserting that the same group of one hundred senators will not have the negative sentiment expressed in Sentence 1.
One hundred senators won't dislike Lori.,One hundred senators might dislike Lori.,contradiction,contradiction,negation,control,numeral_ten-one hundred,ten - one hundred,"Sentence 2 contradicts Sentence 1 because if one hundred senators won't dislike Lori, it is logically impossible for them to simultaneously have the potential to dislike her."
Danielle sounded like ten people.,Danielle didn't sound like one hundred people.,neutral,entailment,implicature_PtoN,target,numeral_ten-one hundred,ten - one hundred,"If Danielle sounded like ten people, it logically follows that she could not have sounded like one hundred people, thus supporting the entailment."
Danielle sounded like ten people.,Danielle sounded like one hundred people.,neutral,contradiction,negated implicature_P,target,numeral_ten-one hundred,ten - one hundred,"Sentence 2 contradicts Sentence 1 because if Danielle sounded like ten people, she cannot simultaneously sound like one hundred people, as the latter implies a greater quantity than the former."
Danielle sounded like one hundred people.,Danielle sounded like ten people.,entailment,contradiction,reverse negated implicature_P,target,numeral_ten-one hundred,ten - one hundred,"Sentence 2 contradicts Sentence 1 because if Danielle sounded like one hundred people, she cannot simultaneously sound like only ten people, as that would imply a lesser quantity and intensity."
Danielle sounded like one hundred people.,Danielle didn't sound like ten people.,contradiction,contradiction,opposite,control,numeral_ten-one hundred,ten - one hundred,"If Danielle sounded like one hundred people, then it logically follows that she must have sounded like more than ten people, making sentence 2 a contradiction of sentence 1."
Danielle didn't sound like ten people.,Danielle sounded like one hundred people.,contradiction,contradiction,opposite,control,numeral_ten-one hundred,ten - one hundred,"Sentence 2 contradicts Sentence 1 because if Danielle didn't sound like ten people, then she cannot simultaneously sound like one hundred people, which is a greater quantity."
Danielle sounded like ten people.,Danielle didn't sound like ten people.,contradiction,contradiction,negation,control,numeral_ten-one hundred,ten - one hundred,"Sentence 2 directly negates the assertion made in Sentence 1 by stating that Danielle did not exhibit the qualities or characteristics of sounding like ten people, thereby contradicting the original claim."
Danielle didn't sound like ten people.,Danielle sounded like ten people.,contradiction,contradiction,negation,control,numeral_ten-one hundred,ten - one hundred,"Sentence 2 directly contradicts Sentence 1 by asserting that Danielle's sound is equivalent to that of ten people, which opposes the claim that she did not sound like that many."
Danielle sounded like one hundred people.,Danielle didn't sound like one hundred people.,contradiction,contradiction,negation,control,numeral_ten-one hundred,ten - one hundred,"Sentence 2 directly negates the assertion made in Sentence 1 by stating that Danielle did not exhibit the qualities of sounding like one hundred people, thereby contradicting the original claim."
Danielle didn't sound like one hundred people.,Danielle sounded like one hundred people.,contradiction,contradiction,negation,control,numeral_ten-one hundred,ten - one hundred,"Sentence 2 directly contradicts Sentence 1 by asserting that Danielle's sound is equivalent to that of one hundred people, which opposes the claim that she did not sound like that many."
Mary was dropping by ten banks.,Mary wasn't dropping by one hundred banks.,neutral,entailment,implicature_PtoN,target,numeral_ten-one hundred,ten - one hundred,"If Mary was dropping by ten banks, it logically follows that she was not dropping by one hundred banks."
Mary was dropping by ten banks.,Mary was dropping by one hundred banks.,neutral,contradiction,negated implicature_P,target,numeral_ten-one hundred,ten - one hundred,Sentence 2 contradicts Sentence 1 because the quantity of banks mentioned in Sentence 2 (one hundred) is inconsistent with the quantity stated in Sentence 1 (ten).
Mary was dropping by ten banks.,Mary was dropping by one hundred banks.,neutral,contradiction,negated implicature_P,target,numeral_ten-one hundred,ten - one hundred,Sentence 2 contradicts Sentence 1 because the quantity of banks mentioned in Sentence 2 (one hundred) is inconsistent with the quantity stated in Sentence 1 (ten).
Mary was dropping by one hundred banks.,Mary was dropping by ten banks.,entailment,contradiction,reverse negated implicature_P,target,numeral_ten-one hundred,ten - one hundred,"Sentence 2 contradicts Sentence 1 because it presents a lower quantity of banks, directly opposing the assertion that Mary was visiting one hundred banks."
Mary was dropping by one hundred banks.,Mary wasn't dropping by ten banks.,contradiction,contradiction,opposite,control,numeral_ten-one hundred,ten - one hundred,"Sentence 2 contradicts Sentence 1 because if Mary was dropping by one hundred banks, it logically follows that she was also dropping by more than ten banks, making the claim in Sentence 2 false."
Mary wasn't dropping by ten banks.,Mary was dropping by one hundred banks.,contradiction,contradiction,opposite,control,numeral_ten-one hundred,ten - one hundred,"Sentence 2 directly contradicts Sentence 1 because if Mary wasn't dropping by ten banks, then she cannot be dropping by one hundred banks, as that would imply she is visiting more than she claimed not to."
Mary was dropping by ten banks.,Mary wasn't dropping by ten banks.,contradiction,contradiction,negation,control,numeral_ten-one hundred,ten - one hundred,"Sentence 2 directly negates the action described in Sentence 1, asserting that Mary did not engage in the activity of dropping by ten banks, which contradicts the claim made in Sentence 1."
Mary wasn't dropping by ten banks.,Mary was dropping by ten banks.,contradiction,contradiction,negation,control,numeral_ten-one hundred,ten - one hundred,Sentence 2 directly contradicts Sentence 1 because it asserts the opposite action regarding Mary's visit to the banks.
Mary was dropping by one hundred banks.,Mary wasn't dropping by one hundred banks.,contradiction,contradiction,negation,control,numeral_ten-one hundred,ten - one hundred,"Sentence 2 directly negates the action described in Sentence 1, asserting that Mary did not engage in the activity of dropping by one hundred banks, which contradicts the claim that she did."
Mary wasn't dropping by one hundred banks.,Mary was dropping by one hundred banks.,contradiction,contradiction,negation,control,numeral_ten-one hundred,ten - one hundred,Sentence 2 directly contradicts Sentence 1 because it asserts the opposite action regarding Mary's visit to the banks.
