sentence1,sentence2,gold_label_log,gold_label_prag,spec_relation,item_type,trigger,lexemes,Reasoning_gold_label_Prag
Not all teenagers criticize Guy.,Some teenagers criticize Guy.,neutral,entailment,implicature_NtoP,target,quantifier,some - all,"If not all teenagers criticize Guy, it logically follows that at least some teenagers do criticize him."
Some teenagers criticize Guy.,All teenagers criticize Guy.,neutral,contradiction,negated implicature_P,target,quantifier,some - all,"Sentence 2 is a contradiction of Sentence 1 because stating that ""all teenagers"" criticize Guy directly opposes the notion that only ""some teenagers"" do."
All teenagers criticize Guy.,Some teenagers criticize Guy.,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all,"Sentence 2 is a contradiction of Sentence 1 because if all teenagers criticize Guy, then it is impossible for only some teenagers to do so."
Not all teenagers criticize Guy.,No teenagers criticize Guy.,neutral,contradiction,negated implicature_N,target,quantifier,some - all,"Sentence 2 contradicts Sentence 1 because if not all teenagers criticize Guy, then at least some teenagers must be criticizing him, which directly opposes the claim that no teenagers criticize him."
No teenagers criticize Guy.,Not all teenagers criticize Guy.,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all,"Sentence 2 contradicts Sentence 1 because if no teenagers criticize Guy, then it is impossible for some teenagers to not criticize him, as implied by Sentence 2."
All teenagers criticize Guy.,No teenagers criticize Guy.,contradiction,contradiction,opposite,control,quantifier,some - all,"Sentence 2 directly contradicts Sentence 1 by asserting that not a single teenager criticizes Guy, which opposes the claim that all teenagers do."
No teenagers criticize Guy.,All teenagers criticize Guy.,contradiction,contradiction,opposite,control,quantifier,some - all,"Sentence 2 directly contradicts Sentence 1 by asserting that every teenager criticizes Guy, which opposes the claim that no teenagers do so."
Some teenagers criticize Guy.,No teenagers criticize Guy.,contradiction,contradiction,negation,control,quantifier,some - all,"Sentence 2 directly contradicts Sentence 1 by asserting that there are no teenagers who criticize Guy, while Sentence 1 states that at least some do."
No teenagers criticize Guy.,Some teenagers criticize Guy.,contradiction,contradiction,negation,control,quantifier,some - all,"Sentence 2 directly contradicts Sentence 1 because it asserts that at least one teenager criticizes Guy, which opposes the claim that no teenagers do so."
All teenagers criticize Guy.,Not all teenagers criticize Guy.,contradiction,contradiction,negation,control,quantifier,some - all,"Sentence 2 contradicts Sentence 1 because if all teenagers criticize Guy, then it is impossible for not all teenagers to criticize him."
Not all teenagers criticize Guy.,All teenagers criticize Guy.,contradiction,contradiction,negation,control,quantifier,some - all,"Sentence 2 contradicts Sentence 1 because if not all teenagers criticize Guy, then it is impossible for all teenagers to criticize him."
Some companies command universities to chat.,Not all companies command universities to chat.,neutral,entailment,implicature_PtoN,target,quantifier,some - all,"The statement in sentence1 indicates that there are companies that command universities to chat, which logically implies that there are also companies that do not, supporting the claim in sentence2."
Not all companies command universities to chat.,Some companies command universities to chat.,neutral,entailment,implicature_NtoP,target,quantifier,some - all,"The statement in sentence1 implies that while not all companies engage in this behavior, it does not preclude the possibility that some companies do command universities to chat, thus supporting the entailment in sentence2."
Some companies command universities to chat.,All companies command universities to chat.,neutral,contradiction,negated implicature_P,target,quantifier,some - all,"Sentence 2 contradicts Sentence 1 because it asserts a universal claim about all companies, while Sentence 1 only specifies that some companies have this authority, indicating that not all companies do."
All companies command universities to chat.,Some companies command universities to chat.,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all,"Sentence 2 contradicts Sentence 1 because it asserts that only some companies command universities to chat, while Sentence 1 claims that all companies do so, creating a logical inconsistency."
Not all companies command universities to chat.,No companies command universities to chat.,neutral,contradiction,negated implicature_N,target,quantifier,some - all,"Sentence 2 contradicts Sentence 1 because if not all companies command universities to chat, then at least some companies must do so, which directly opposes the claim that no companies do."
No companies command universities to chat.,Not all companies command universities to chat.,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all,"Sentence 2 contradicts Sentence 1 because if no companies command universities to chat, then it is impossible for some companies to do so, making the assertion in Sentence 2 logically inconsistent with Sentence 1."
All companies command universities to chat.,No companies command universities to chat.,contradiction,contradiction,opposite,control,quantifier,some - all,"Sentence 2 directly contradicts Sentence 1 by asserting that no companies engage in the action of commanding universities, which opposes the claim that all companies do so."
No companies command universities to chat.,All companies command universities to chat.,contradiction,contradiction,opposite,control,quantifier,some - all,"Sentence 2 directly contradicts Sentence 1 by asserting the opposite relationship between companies and universities, claiming that all companies do command universities to chat, which negates the claim that no companies do so."
No companies command universities to chat.,All companies command universities to chat.,contradiction,contradiction,opposite,control,quantifier,some - all,"Sentence 2 directly contradicts Sentence 1 by asserting that all companies, rather than none, have the authority to command universities to engage in conversation."
Some companies command universities to chat.,No companies command universities to chat.,contradiction,contradiction,negation,control,quantifier,some - all,"Sentence 2 directly contradicts Sentence 1 by asserting that no companies engage in the action of commanding universities to chat, while Sentence 1 states that some companies do."
No companies command universities to chat.,Some companies command universities to chat.,contradiction,contradiction,negation,control,quantifier,some - all,"Sentence 2 directly contradicts Sentence 1 by asserting that at least some companies do command universities to chat, which opposes the claim that no companies do so."
All companies command universities to chat.,Not all companies command universities to chat.,contradiction,contradiction,negation,control,quantifier,some - all,Sentence 2 contradicts Sentence 1 because it directly negates the universal claim made in Sentence 1 by asserting that there exists at least one company that does not command universities to chat.
Not all companies command universities to chat.,All companies command universities to chat.,contradiction,contradiction,negation,control,quantifier,some - all,"Sentence 2 directly contradicts Sentence 1 by asserting that every company commands universities to chat, which negates the possibility that some companies do not."
Some cashiers exercise.,Not all cashiers exercise.,neutral,entailment,implicature_PtoN,target,quantifier,some - all,"The statement ""Some cashiers exercise"" implies that there are cashiers who do not exercise, thus supporting the conclusion that ""Not all cashiers exercise."""
Not all cashiers exercise.,Some cashiers exercise.,neutral,entailment,implicature_NtoP,target,quantifier,some - all,"If not all cashiers exercise, it logically follows that at least some cashiers must exercise."
Some cashiers exercise.,All cashiers exercise.,neutral,contradiction,negated implicature_P,target,quantifier,some - all,"Sentence 2 is a contradiction of Sentence 1 because it asserts a universal claim about all cashiers exercising, while Sentence 1 only states that some cashiers do, leaving open the possibility that not all cashiers exercise."
All cashiers exercise.,Some cashiers exercise.,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all,"Sentence 2 is a contradiction of Sentence 1 because if all cashiers exercise, then it is impossible for only some cashiers to exercise."
Not all cashiers exercise.,No cashiers exercise.,neutral,contradiction,negated implicature_N,target,quantifier,some - all,"Sentence 2 contradicts Sentence 1 because if not all cashiers exercise, it implies that at least some cashiers do exercise, which directly opposes the claim that no cashiers exercise."
No cashiers exercise.,Not all cashiers exercise.,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all,"Sentence 2 contradicts Sentence 1 because if no cashiers exercise, then it is impossible for some cashiers to not exercise, as stated in Sentence 2."
All cashiers exercise.,No cashiers exercise.,contradiction,contradiction,opposite,control,quantifier,some - all,"Sentence 2 directly contradicts Sentence 1 by asserting that none of the cashiers exercise, which opposes the claim that all cashiers do exercise."
No cashiers exercise.,All cashiers exercise.,contradiction,contradiction,opposite,control,quantifier,some - all,"Sentence 2 directly contradicts Sentence 1 by asserting that every cashier exercises, which opposes the claim that no cashiers engage in exercise."
Some cashiers exercise.,No cashiers exercise.,contradiction,contradiction,negation,control,quantifier,some - all,"Sentence 2 directly contradicts Sentence 1 by asserting that there are no cashiers who exercise, while Sentence 1 states that at least some cashiers do."
No cashiers exercise.,Some cashiers exercise.,contradiction,contradiction,negation,control,quantifier,some - all,"Sentence 2 contradicts Sentence 1 because if no cashiers exercise, it is impossible for some cashiers to engage in exercise."
All cashiers exercise.,Not all cashiers exercise.,contradiction,contradiction,negation,control,quantifier,some - all,"Sentence 2 contradicts Sentence 1 because if all cashiers exercise, then it is impossible for there to be any cashiers who do not exercise."
Not all cashiers exercise.,All cashiers exercise.,contradiction,contradiction,negation,control,quantifier,some - all,"Sentence 2 contradicts Sentence 1 because if not all cashiers exercise, then it is impossible for all cashiers to exercise simultaneously."
